"MIGR07: Non-Nordic immigrants by reporting country, country background, time, sex and reason for residence permit"

"reporting country","country background","2017 Total Total","2018 Total Total","2019 Total Total"
"Denmark","Africa",17892,18261,18811
"Denmark","Somalia",4878,4830,4661
"Denmark","Turkey",2262,2483,2638
"Denmark","Afghanistan",8032,8420,8541
"Denmark","Iraq",9546,9784,9960
"Denmark","Iran",6380,7169,7389
"Denmark","Syria",20491,21515,21906
"Sweden","Africa",154294,167168,179015
"Sweden","Somalia",56799,59327,61644
"Sweden","Turkey",21152,22551,24347
"Sweden","Afghanistan",32455,41633,49594
"Sweden","Iraq",108373,114059,117296
"Sweden","Iran",31076,34792,38327
"Sweden","Syria",136808,160196,174003
